(Intercept),Diet,Foraging_behaviour,Foraging_substrate,Habitat,Nesting_site,df,logLik,AICc,delta,weight
-1.1679,NA,NA,NA,NA,-1.5044,3,-271.7022,549.4997,0,0.1995
-1.2384,NA,0.1381,NA,NA,-1.5665,4,-271.2787,550.7167,1.217,0.1086
-1.1387,NA,NA,-0.1249,NA,-1.3998,4,-271.4178,550.995,1.4952,0.0945
-1.2214,0.1099,NA,NA,NA,-1.5431,4,-271.425,551.0093,1.5096,0.0938
-1.1316,NA,NA,NA,-0.1131,-1.4235,4,-271.4754,551.1102,1.6104,0.0892
-1.2193,NA,0.1835,-0.1809,NA,-1.4353,5,-270.725,551.69,2.1903,0.0667
-1.2021,NA,0.1401,NA,-0.1162,-1.4844,5,-271.0386,552.3172,2.8175,0.0488
-1.2791,0.0954,0.1268,NA,NA,-1.5951,5,-271.0718,552.3837,2.884,0.0472
-1.1943,0.1187,NA,-0.1347,NA,-1.4334,5,-271.0951,552.4303,2.9305,0.0461
-1.0983,NA,NA,-0.1317,-0.1208,-1.3077,5,-271.1595,552.5589,3.0592,0.0432
-1.1849,0.1079,NA,NA,-0.1106,-1.4634,5,-271.2077,552.6555,3.1558,0.0412
-1.1784,NA,0.1879,-0.1895,-0.1283,-1.3385,6,-270.4325,553.2023,3.7026,0.0313
-1.2625,0.1024,0.1727,-0.1861,NA,-1.4623,6,-270.4862,553.3098,3.8101,0.0297
-1.2426,0.0931,0.1291,NA,-0.1138,-1.514,6,-270.8414,554.0202,4.5205,0.0208
-1.1538,0.117,NA,-0.1413,-0.1186,-1.3426,6,-270.8454,554.0282,4.5285,0.0207
-1.2213,0.1001,0.1773,-0.1944,-0.126,-1.3665,7,-270.2036,554.8589,5.3591,0.0137
-1.3046,NA,NA,-0.3091,-0.2788,NA,4,-275.8801,559.9196,10.4199,0.0011
-1.4442,NA,NA,-0.3234,NA,NA,3,-277.3347,560.7646,11.2649,0.0007
-1.376,NA,0.1581,-0.3612,-0.2882,NA,5,-275.383,561.0061,11.5064,0.0006
-1.4418,NA,NA,NA,-0.2957,NA,3,-277.7714,561.6381,12.1383,0.0005
-1.3403,0.0685,NA,-0.3174,-0.28,NA,5,-275.7754,561.7908,12.2911,0.0004
-1.5125,NA,0.1418,-0.3707,NA,NA,4,-276.9377,562.0348,12.535,0.0004
-1.4783,0.0644,NA,-0.3313,NA,NA,4,-277.2432,562.6458,13.1461,0.0003
-1.597,NA,NA,NA,NA,NA,2,-279.3871,562.8217,13.3219,0.0003
-1.401,0.0533,0.1521,-0.3657,-0.2888,NA,6,-275.3202,562.9777,13.478,0.0002
-1.4718,NA,0.0502,NA,-0.2996,NA,4,-277.7167,563.5928,14.0931,0.0002
-1.4615,0.0343,NA,NA,-0.2965,NA,4,-277.7451,563.6496,14.1499,0.0002
-1.5365,0.0506,0.1361,-0.375,NA,NA,5,-276.8816,564.0032,14.5035,0.0001
-1.6164,NA,0.0304,NA,NA,NA,3,-279.3672,564.8297,15.33,0.0001
-1.6137,0.0284,NA,NA,NA,NA,3,-279.3694,564.834,15.3343,0.0001
-1.4856,0.0281,0.0463,NA,-0.3,NA,5,-277.6994,565.6389,16.1392,0.0001
-1.6288,0.0247,0.0269,NA,NA,NA,4,-279.354,566.8675,17.3677,0
